Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17
7.0113502,20.012697,20.00325,20.001946,20.004267,20.00179,20.001248,20.032588,20.006349,20.003312,20.00724,20.00226,20.001686,20.407277,20.013018,20.006629,20.012243,20.00339,20.002778,0.005556628,0.001905044,0.001252301,0.002223567,0.001299881,0.000950113,0.014792928,0.003835279,0.002279044,0.003962134,0.001838086,0.001332653,0.047007785,0.008302495,0.004320888,0.00698812,0.002672612,0.001938868
7.2474091,20.014822,20.003984,20.002421,20.005194,20.002299,20.001617,20.038048,20.007785,20.004157,20.008867,20.002958,20.002193,20.41681,20.016015,20.008198,20.01644,20.004388,20.003498,0.006335222,0.00211086,0.001293981,0.002670965,0.001385255,0.000983055,0.016671788,0.004060144,0.002324819,0.004733682,0.001905652,0.001365026,0.052011788,0.008520785,0.004390539,0.008259142,0.002737391,0.00197924
7.5819193,20.016725,20.004667,20.002861,20.006086,20.002771,20.00196,20.042884,20.009099,20.004932,20.010423,20.003602,20.002663,20.423684,20.018702,20.009612,20.038149,20.005314,20.004166,0.00616856,0.002151495,0.001331108,0.002774645,0.001419195,0.001012686,0.016215795,0.004127237,0.002387795,0.004896001,0.001954939,0.001408704,0.050677237,0.008570129,0.004430781,0.008576927,0.002841987,0.002053601
7.8049261,20.01858,20.005345,20.003306,20.00697,20.003245,20.002316,20.047603,20.010413,20.005741,20.01196,20.004271,20.003187,20.429906,20.021512,20.011192,20.090161,20.006332,20.004952,0.006309529,0.002213791,0.001405675,0.002824968,0.001478064,0.001111145,0.016761404,0.004314008,0.002633737,0.005004668,0.002138153,0.001705435,0.053186326,0.009597745,0.005404484,0.008959103,0.003364039,0.002669932
8.1394363,20.020418,20.006049,20.003797,20.00785,20.003769,20.00274,20.052283,20.011831,20.006674,20.013498,20.005053,20.003827,20.435785,20.024708,20.013054,20.170923,20.007556,20.005895,0.006365897,0.002369787,0.001613359,0.002872248,0.001718059,0.001390853,0.017010325,0.004843355,0.00313843,0.005133198,0.002603769,0.002095621,0.054998736,0.011110794,0.006252131,0.009375811,0.00408268,0.003065291
8.4739465,20.022608,20.007012,20.004513,20.008975,20.004543,20.003377,20.057873,20.013851,20.008043,20.015491,20.006224,20.004753,20.442983,20.029268,20.015638,20.280946,20.009336,20.00717,0.00649751,0.00280842,0.001986656,0.003241116,0.002136932,0.001672442,0.017520113,0.005853282,0.003767406,0.005879587,0.003171686,0.002398983,0.057701245,0.013082946,0.007054331,0.010861829,0.004762824,0.003337772
8.8084567,20.024835,20.008135,20.005333,20.010264,20.005442,20.004066,20.063534,20.016166,20.009543,20.017792,20.007521,20.005707,20.450606,20.034223,20.018316,20.389378,20.011223,20.008452,0.006826367,0.003123262,0.002152295,0.003621385,0.002359214,0.001770965,0.018354571,0.006399317,0.003991024,0.006582302,0.003396231,0.002478023,0.060056595,0.013871235,0.007277558,0.012207162,0.005001151,0.003416973
9.0314635,20.026774,20.009098,20.006014,20.011395,20.006203,20.004639,20.068387,20.018105,20.010778,20.019793,20.008602,20.006497,20.457403,20.038283,20.0205,20.469589,20.012791,20.009513,0.007194808,0.003203951,0.002179902,0.003776947,0.00240999,0.001797648,0.01921372,0.006503464,0.004023357,0.006817653,0.003448584,0.002511878,0.062023849,0.013971147,0.00729765,0.012671587,0.005072582,0.003459891
9.3659737,20.028794,20.010049,20.006691,20.012532,20.006961,20.005216,20.073382,20.020011,20.012006,20.021771,20.009687,20.007306,20.464873,20.042278,20.022695,20.532391,20.014386,20.010615,0.007442198,0.003233921,0.00221652,0.003841114,0.002456069,0.001864156,0.019812233,0.006594532,0.004144718,0.006896682,0.003577843,0.002700177,0.063616571,0.01443701,0.007768178,0.012849799,0.00539443,0.003843462
9.7004839,20.031172,20.011192,20.007526,20.013884,20.007906,20.005971,20.07924,20.022347,20.013585,20.024119,20.011104,20.008451,20.474297,20.047454,20.025778,20.585062,20.016597,20.012293,0.007506048,0.003356783,0.002380831,0.003915988,0.002681652,0.002140787,0.020055242,0.007019389,0.004620785,0.007069218,0.004078919,0.003261704,0.064912563,0.016049213,0.009143731,0.013261186,0.006382877,0.004794122
